setor,chamados_ate_11_08_2026,grupo_solicitante_glpi,grupo_aprovador_glpi,gestor_nome,gestor_email,aprova_acesso,aprova_compra,aprova_admissao,observacao
"Comercial",91,"Setor | Comercial","Gestores | Comercial",,,SIM,SIM,SIM,
"Fiscal",84,"Setor | Fiscal","Gestores | Fiscal",,,SIM,SIM,SIM,
"RH",72,"Setor | RH","Gestores | RH",,,SIM,SIM,SIM,
"TI",62,"Setor | TI","Gestores | TI",,,SIM,SIM,SIM,
"Laboratório",40,"Setor | Laboratório","Gestores | Laboratório",,,SIM,SIM,SIM,
"Suprimentos",39,"Setor | Suprimentos","Gestores | Suprimentos",,,SIM,SIM,SIM,
"Contabilidade",28,"Setor | Contabilidade","Gestores | Contabilidade",,,SIM,SIM,SIM,
"PCP",25,"Setor | PCP","Gestores | PCP",,,SIM,SIM,SIM,
"Financeiro",21,"Setor | Financeiro","Gestores | Financeiro",,,SIM,SIM,SIM,
"Custos",21,"Setor | Custos","Gestores | Custos",,,SIM,SIM,SIM,
"Produção",20,"Setor | Produção","Gestores | Produção",,,SIM,SIM,SIM,
"Faturamento / Logística",20,"Setor | Faturamento / Logística","Gestores | Faturamento / Logística",,,SIM,SIM,SIM,
"Portaria",16,"Setor | Portaria","Gestores | Portaria",,,SIM,SIM,SIM,
"HomyTec",14,"Setor | HomyTec","Gestores | HomyTec",,,SIM,SIM,SIM,
"Recepção",12,"Setor | Recepção","Gestores | Recepção",,,SIM,SIM,SIM,
"SGI",7,"Setor | SGI","Gestores | SGI",,,SIM,SIM,SIM,
"Diretoria Presidencial",6,"Setor | Diretoria Presidencial","Gestores | Diretoria Presidencial",,,SIM,SIM,SIM,
"Qualidade",5,"Setor | Qualidade","Gestores | Qualidade",,,SIM,SIM,SIM,
"Marketing",5,"Setor | Marketing","Gestores | Marketing",,,SIM,SIM,SIM,
"Expedição",5,"Setor | Expedição","Gestores | Expedição",,,SIM,SIM,SIM,
"Almoxarifado Insumos / Matéria Prima",3,"Setor | Almoxarifado Insumos / Matéria Prima","Gestores | Almoxarifado Insumos / Matéria Prima",,,SIM,SIM,SIM,
"Manutenção",2,"Setor | Manutenção","Gestores | Manutenção",,,SIM,SIM,SIM,
"Gerência Geral",2,"Setor | Gerência Geral","Gestores | Gerência Geral",,,SIM,SIM,SIM,
"Controladoria",2,"Setor | Controladoria","Gestores | Controladoria",,,SIM,SIM,SIM,
"Diretoria Técnica",1,"Setor | Diretoria Técnica","Gestores | Diretoria Técnica",,,SIM,SIM,SIM,
"Diretoria Administrativa",1,"Setor | Diretoria Administrativa","Gestores | Diretoria Administrativa",,,SIM,SIM,SIM,
